,Ticker,Company,Country,Sector,Date,Weight
0,AWF US,Alliancebernstein Global High,United States,,2017-06-30,5.31658
1,FRA US,Blackrock Floating Rate Income,United States,,2017-06-30,1.81756
2,PTY US,Pimco Corporate & Income Oppor,United States,,2017-06-30,2.79031
3,EFR US,Eaton Vance Senior Floating-Ra,United States,,2017-06-30,1.85554
4,EMD US,Western Asset Emerging Markets,United States,,2017-06-30,2.56156
5,PFL US,Pimco Income Strategy Fund,United States,,2017-06-30,0.742169
6,DHY US,Credit Suisse High Yield Bond,United States,,2017-06-30,0.813559
7,CIK US,Credit Suisse Asset Management,United States,,2017-06-30,0.757848
8,EAD US,Wells Fargo Advantage Income O,United States,,2017-06-30,2.88131
9,HIX US,Western Asset High Income Fund,United States,,2017-06-30,2.67835
10,VVR US,Invesco Senior Income Trust,United States,,2017-06-30,3.51592
11,DHF US,Dreyfus High Yield Strategies,United States,,2017-06-30,0.855265
12,MSD US,Morgan Stanley Emerging Market,United States,,2017-06-30,1.07867
13,DSU US,Blackrock Debt Strategies Fund,United States,,2017-06-30,3.3317
14,NSL US,Nuveen Senior Income Fund,United States,,2017-06-30,0.779438
15,HYB US,New America High Income Fund I,United States,,2017-06-30,0.957403
16,HYT US,Blackrock Corporate High Yield,United States,,2017-06-30,6.71688
17,HIO US,Western Asset High Income Oppo,United States,,2017-06-30,3.15117
18,TEI US,Templeton Emerging Markets Inc,United States,,2017-06-30,2.91902
19,NHS US,Neuberger Berman High Yield St,United States,,2017-06-30,1.24741
20,JFR US,Nuveen Floating Rate Income Fu,United States,,2017-06-30,1.91376
21,FCT US,First Trust Senior Floating Ra,United States,,2017-06-30,1.2362
22,EFT US,Eaton Vance Floating-Rate Inco,United States,,2017-06-30,2.04127
23,JRO US,Nuveen Floating Rate Income Op,United States,,2017-06-30,1.33311
24,BGT US,Blackrock Floating Rate Income,United States,,2017-06-30,0.984161
25,PFN US,Pimco Income Strategy Fund Ii,United States,,2017-06-30,1.54416
26,PHD US,Pioneer Floating Rate Trust,United States,,2017-06-30,1.02404
27,HNW US,Pioneer Diversified High Incom,United States,,2017-06-30,0.589404
28,FSD US,First Trust High Income Long/S,United States,,2017-06-30,2.56786
29,HYI US,Western Asset High Yield Defin,United States,,2017-06-30,1.66411
30,KIO US,Kkr Income Opportunities Fund,United States,,2017-06-30,1.1181
31,DHG US,Deutsche High Income Opportuni,United States,,2017-06-30,0.76735
32,EDI US,Stone Harbor Emerging Markets,United States,,2017-06-30,0.350074
33,PHT US,Pioneer High Income Trust,United States,,2017-06-30,1.36732
34,JHA US,Nuveen High Income December 20,United States,,2017-06-30,0.864729
35,JSD US,Nuveen Short Duration Credit O,United States,,2017-06-30,0.523901
36,JHY US,NUVEEN H-I 2020 TGT TRM FD,United States,,2017-06-30,0.372738
37,BGX US,Blackstone/Gso Long-Short Cred,United States,,2017-06-30,0.87435
38,EHT US,Eaton Vance High Income 2021,United States,,2017-06-30,0.735603
39,PPR US,Voya Prime Rate Trust,United States,,2017-06-30,3.40475
40,BGB US,Blackstone / Gso Strategic Cre,United States,,2017-06-30,3.04543
41,GHY US,Prudential Global Short Durati,United States,,2017-06-30,2.96013
42,BGH US,Barings Global Short Duration,United States,,2017-06-30,1.70252
43,ISD US,Prudential Short Duration High,United States,,2017-06-30,2.4486
44,EDF US,Stone Harbor Emerging Markets,United States,,2017-06-30,0.574229
45,DSL US,Doubleline Income Solutions Fu,United States,,2017-06-30,8.02372
46,IVH US,Ivy High Income Opportunities,United States,,2017-06-30,1.09431
47,JHB US,Nuveen H-I Nov 21 Tgt Trm Fd,United States,,2017-06-30,1.66277
48,RA US,Brookfield Real Assets Incom,United States,,2017-06-30,4.02008
49,OPP US,Rivernrth/Doublelne Str Opp,United States,,2017-06-30,0.869866
50,FIV US,FIRST TRUST SENIOR FLOATING,United States,,2017-06-30,1.04199
51,JPT US,NUVEEN PREFERRED INCOME 2022,United States,,2017-06-30,0.511717
0,JHA US,Nuveen High Income December 20,United States,,2017-03-31,0.929493
1,PFN US,Pimco Income Strategy Fund Ii,United States,,2017-03-31,1.82933
2,EFR US,Eaton Vance Senior Floating-Ra,United States,,2017-03-31,1.71298
3,HYT US,Blackrock Corporate High Yield,United States,,2017-03-31,7.13082
4,HIO US,Western Asset High Income Oppo,United States,,2017-03-31,3.36784
5,RA US,Brookfield Real Assets Incom,United States,,2017-03-31,4.31608
6,VVR US,Invesco Senior Income Trust,United States,,2017-03-31,3.05867
7,DHF US,Dreyfus High Yield Strategies,United States,,2017-03-31,0.905763
8,PHT US,Pioneer High Income Trust,United States,,2017-03-31,1.32276
9,BGT US,Blackrock Floating Rate Income,United States,,2017-03-31,1.04632
10,PPR US,Voya Prime Rate Trust,United States,,2017-03-31,2.94435
11,DHY US,Credit Suisse High Yield Bond,United States,,2017-03-31,0.835374
12,HYI US,Western Asset High Yield Defin,United States,,2017-03-31,1.80639
13,EMD US,Western Asset Emerging Markets,United States,,2017-03-31,2.73052
14,BGH US,Barings Global Short Duration,United States,,2017-03-31,1.83412
15,DSL US,Doubleline Income Solutions Fu,United States,,2017-03-31,8.06327
16,MSD US,Morgan Stanley Emerging Market,United States,,2017-03-31,1.1386
17,AWF US,Alliancebernstein Global High,United States,,2017-03-31,5.11612
18,PFL US,Pimco Income Strategy Fund,United States,,2017-03-31,0.875177
19,BGB US,Blackstone / Gso Strategic Cre,United States,,2017-03-31,3.22923
20,CIK US,Credit Suisse Asset Management,United States,,2017-03-31,0.790858
21,EDI US,Stone Harbor Emerging Markets,United States,,2017-03-31,0.452972
22,HNW US,Pioneer Diversified High Incom,United States,,2017-03-31,0.627545
23,DHG US,Deutsche High Income Opportuni,United States,,2017-03-31,0.81193
24,EDF US,Stone Harbor Emerging Markets,United States,,2017-03-31,0.6385
25,KIO US,Kkr Income Opportunities Fund,United States,,2017-03-31,1.30264
26,FRA US,Blackrock Floating Rate Income,United States,,2017-03-31,1.92816
27,FCT US,First Trust Senior Floating Ra,United States,,2017-03-31,1.33261
28,NSL US,Nuveen Senior Income Fund,United States,,2017-03-31,0.81536
29,JHY US,NUVEEN H-I 2020 TGT TRM FD,United States,,2017-03-31,0.367547
30,JHB US,Nuveen H-I Nov 21 Tgt Trm Fd,United States,,2017-03-31,1.72829
31,PTY US,Pimco Corporate & Income Oppor,United States,,2017-03-31,2.78682
32,NHS US,Neuberger Berman High Yield St,United States,,2017-03-31,1.21938
33,JFR US,Nuveen Floating Rate Income Fu,United States,,2017-03-31,2.04029
34,EHT US,Eaton Vance High Income 2021,United States,,2017-03-31,0.777257
35,GHY US,Prudential Global Short Durati,United States,,2017-03-31,3.13984
36,BGX US,Blackstone/Gso Long-Short Cred,United States,,2017-03-31,0.920527
37,JRO US,Nuveen Floating Rate Income Op,United States,,2017-03-31,1.22666
38,EFT US,Eaton Vance Floating-Rate Inco,United States,,2017-03-31,1.91463
39,IVH US,Ivy High Income Opportunities,United States,,2017-03-31,1.16452
40,PHD US,Pioneer Floating Rate Trust,United States,,2017-03-31,1.07882
41,FSD US,First Trust High Income Long/S,United States,,2017-03-31,2.69171
42,DSU US,Blackrock Debt Strategies Fund,United States,,2017-03-31,3.62792
43,ISD US,Prudential Short Duration High,United States,,2017-03-31,2.36405
44,HIX US,Western Asset High Income Fund,United States,,2017-03-31,2.82207
45,EAD US,Wells Fargo Advantage Income O,United States,,2017-03-31,2.77898
46,TEI US,Templeton Emerging Markets Inc,United States,,2017-03-31,2.86321
47,JSD US,Nuveen Short Duration Credit O,United States,,2017-03-31,0.563351
48,HYB US,New America High Income Fund I,United States,,2017-03-31,1.03036
0,JFR US,Nuveen Floating Rate Income Fu,United States,,2016-12-30,2.11799
1,HYT US,Blackrock Corporate High Yield,United States,,2016-12-30,7.42954
2,EMD US,Western Asset Emerging Markets,United States,,2016-12-30,2.54119
3,HIO US,Western Asset High Income Oppo,United States,,2016-12-30,3.50762
