date,date,date.1,symbol,date.1.1,open,high,low,close,volume,interest,Returns,Log Returns
1998-06-09,1998-06-09,1998-06-09,L6Y00,1998-06-09,0.9009001,0.9009001,0.9009001,0.9009001,0.0,0.0,,
1998-06-10,1998-06-10,1998-06-10,L6Y00,1998-06-10,0.9009001,0.9009001,0.9009001,0.9009001,0.0,0.0,0.0,0.0
1998-06-11,1998-06-11,1998-06-11,L6Y00,1998-06-11,0.9009001,0.9009001,0.9009001,0.9009001,0.0,0.0,0.0,0.0
1998-06-12,1998-06-12,1998-06-12,L6Y00,1998-06-12,0.9009001,0.9009001,0.9009001,0.9009001,0.0,0.0,0.0,0.0
1998-06-15,1998-06-15,1998-06-15,L6Y00,1998-06-15,0.9009001,0.9009001,0.9009001,0.9009001,0.0,0.0,0.0,0.0
1998-06-16,1998-06-16,1998-06-16,L6Y00,1998-06-16,0.9009001,0.9009001,0.9009001,0.9009001,0.0,0.0,0.0,0.0
1998-06-17,1998-06-17,1998-06-17,L6Y00,1998-06-17,0.9009001,0.9009001,0.9009001,0.9009001,0.0,0.0,0.0,0.0
1998-06-18,1998-06-18,1998-06-18,L6Y00,1998-06-18,0.9009001,0.9009001,0.9009001,0.9009001,0.0,0.0,0.0,0.0
1998-06-19,1998-06-19,1998-06-19,L6Y00,1998-06-19,0.9009001,0.9009001,0.9009001,0.9009001,0.0,0.0,0.0,0.0
1998-06-22,1998-06-22,1998-06-22,L6Y00,1998-06-22,0.8695601,0.8695601,0.8695601,0.8695601,0.0,0.0,-0.034787430926,-0.0354069230678
1998-06-23,1998-06-23,1998-06-23,L6Y00,1998-06-23,0.8695601,0.8695601,0.8695601,0.8695601,0.0,0.0,0.0,0.0
1998-06-24,1998-06-24,1998-06-24,L6Y00,1998-06-24,0.8695601,0.8695601,0.8695601,0.8695601,0.0,0.0,0.0,0.0
1998-06-25,1998-06-25,1998-06-25,L6Y00,1998-06-25,0.8695601,0.8695601,0.8695601,0.8695601,0.0,0.0,0.0,0.0
1998-06-26,1998-06-26,1998-06-26,L6Y00,1998-06-26,0.8695601,0.8695601,0.8695601,0.8695601,0.0,0.0,0.0,0.0
1998-06-29,1998-06-29,1998-06-29,L6Y00,1998-06-29,0.8695601,0.8695601,0.8695601,0.8695601,0.0,0.0,0.0,0.0
1998-06-30,1998-06-30,1998-06-30,L6Y00,1998-06-30,0.8695601,0.8695601,0.8695601,0.8695601,0.0,0.0,0.0,0.0
